,organizationName,employees,headquarters,ceoName,industries,yearFounded,state,rank
0,1-800 CONTACTS,32000.0, Utah,John (Jay) Duke Graham,Retail and Wholesale,1995.0,Utah,14
1,3M,38000.0, Minnesota,Michael F. Roman,Packaged Goods,1902.0,Alabama,3
2,3M,38000.0, Minnesota,Michael F. Roman,Packaged Goods,1902.0,California,38
3,3M,38000.0, Minnesota,Michael F. Roman,Packaged Goods,1902.0,Iowa,8
4,3M,38000.0, Minnesota,Michael F. Roman,Packaged Goods,1902.0,Minnesota,12
5,3M,38000.0, Minnesota,Michael F. Roman,Packaged Goods,1902.0,South Carolina,26
6,3M,38000.0, Minnesota,Michael F. Roman,Packaged Goods,1902.0,Wisconsin,12
7,AAA Cooper Transportation,5000.0, Alabama,Reid Dove,Transportation and Logistics,1955.0,Texas,97
8,ABB,105000.0, North Carolina,Björn Klas Otto Rosengren,Electronics,1883.0,Ohio,83
9,Abbott Laboratories,33900.0, Illinois,Robert B. Ford,Health Care,1888.0,Illinois,37
10,Abbott Laboratories,33900.0, Illinois,Robert B. Ford,Health Care,1888.0,Minnesota,30
11,Abbott Laboratories,33900.0, Illinois,Robert B. Ford,Health Care,1888.0,Missouri,30
12,Abbott Laboratories,33900.0, Illinois,Robert B. Ford,Health Care,1888.0,Ohio,87
13,Abbott Laboratories,33900.0, Illinois,Robert B. Ford,Health Care,1888.0,South Carolina,19
14,AbbVie,50000.0, Illinois,Richard A. Gonzalez,Drugs & Biotechnology,2013.0,California,82
15,AbbVie,50000.0, Illinois,Richard A. Gonzalez,Drugs & Biotechnology,2013.0,Illinois,24
16,Academy Mortgage,10674.0, Utah,James Pherson,Banking and Financial Services,1988.0,Utah,26
17,Academy School District 20,3140.0, Colorado,Thomas Gregory,Education,1957.0,Colorado,58
18,Accenture,710000.0, New York,Julie Spellman Sweet,Professional Services,1989.0,Georgia,74
19,Accenture,710000.0, New York,Julie Spellman Sweet,Professional Services,1989.0,Illinois,31
20,Accenture,710000.0, New York,Julie Spellman Sweet,Professional Services,1989.0,New Jersey,64
21,Accenture,710000.0, New York,Julie Spellman Sweet,Professional Services,1989.0,Pennsylvania,20
22,Accenture,710000.0, New York,Julie Spellman Sweet,Professional Services,1989.0,Texas,51
23,Accenture,710000.0, New York,Julie Spellman Sweet,Professional Services,1989.0,Virginia,41
24,Ace Hardware,12300.0, Illinois,John Venhuizen,Retail and Wholesale,1924.0,Illinois,80
25,Acorn Engineering,20000.0, California,Jonathan Coiley,"Engineering, Manufacturing",1954.0,New York,48
26,Acosta Sales and Marketing Company,36100.0, Florida,Brian Wynne,Business Services & Supplies,1927.0,North Carolina,90
27,Acuity Insurance,5805.0, Wisconsin,Ben Salzmann,Insurance,1925.0,Wisconsin,17
28,Adelphi University,5200.0, New York,Christine Riordan,Education,1896.0,New York,82
29,Adena Health System,3000.0, Ohio,Jeff Graham,Health Care,1895.0,Ohio,50
30,Adidas,61401.0, Oregon,Kasper Bo Rørsted,"Clothing, Shoes, Sports Equipment",1949.0,Massachusetts,61
31,Adidas,61401.0, Oregon,Kasper Bo Rørsted,"Clothing, Shoes, Sports Equipment",1949.0,Oregon,32
32,Adobe,13513.0, California,Shantanu Narayen,"IT, Internet, Software & Services",1982.0,California,27
33,ADT Security Systems,25000.0, Florida,Jim DeVries,Business Services & Supplies,1874.0,Kansas,18
34,ADT Security Systems,25000.0, Florida,Jim DeVries,Business Services & Supplies,1874.0,New York,97
35,ADT Security Systems,25000.0, Florida,Jim DeVries,Business Services & Supplies,1874.0,Pennsylvania,69
36,Advance Auto Parts,68000.0, Virginia,Thomas R. Greco,Retail and Wholesale,1932.0,North Carolina,68
37,Advance Financial,10674.0, Tennessee,Tina Hodges,Banking and Financial Services,1996.0,Tennessee,26
38,Advantage Solutions,58000.0, California,Jill Griffin,Business Services & Supplies,1987.0,Illinois,40
39,AdventHealth,80000.0, Florida,Terry Shaw,Health Care,1973.0,Florida,68
40,Adventist HealthCare (Maryland),6145.0, Maryland,Terry Forde,Health Care,1907.0,Maryland,65
41,Advocate Aurora Health,75000.0, Wisconsin,Jim Skogsbergh,Health Care,2018.0,Illinois,95
42,Advocate Aurora Health,75000.0, Wisconsin,Jim Skogsbergh,Health Care,2018.0,Wisconsin,56
43,AECOM,17000.0, California,Troy Rudd,Professional Services,1990.0,Florida,99
44,AECOM,17000.0, California,Troy Rudd,Professional Services,1990.0,Pennsylvania,97
